tt_num,ccat_before,ccat_after,symp_before,symp_after,cc_before,cc_after,rc_before,rc_after
1-10750659584,null,Customer,Intermittent,Intermittent,null,PG_Faulty,null,Advise Customer
1-10750659724,null,System,Line Disconnect,Line Disconnect,null,User_Account,null,Configure Customer Account
1-10750660439,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Hang,null,PG_Config_Changed
1-10750781819,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Hang,null,PG_Replaced
1-10750798615,null,RIGHT WHEN TESTED,Line Disconnect,Line Disconnect,null,RWT END-END,null,RWT CUSTOMER SATISFIED
1-10750815475,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Power Adaptor,null,Power Adaptor Replaced
1-10750847799,null,Customer,Silent  BTU,Silent  BTU,null,Customer_Internal Wiring,null,Advise Customer
1-10750939625,null,LocalAccess,Line Disconnect,Line Disconnect,null,Drop Fiber Damage,null,D/S Fiber cable replaced
1-10750939753,null,Access Network,Slow downloading rate,Slow downloading rate,null,EQMT_VLAN problem,null,VLAN changed
1-10750952756,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Cancel TT,null,Advise Customer
1-10750975019,null,TM_CPE,Error_Code_Others,Error_Code_Others,null,TM_CPE_SLT Faulty,null,STB_Replaced
1-10750975328,null,Customer,Error_108001,Error_108001,null,Customer_Behaviour,null,Advise Customer
1-10751052666,null,Customer,Wireless intermittent,Wireless intermittent,null,Cust_PC Issue/Faulty,null,Advise Customer
1-10751057816,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Advise Customer
1-10751057972,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE_PG Hang,null,PG_Config_Changed
1-10751058243,null,BTU,Slow Browsing,Slow Browsing,null,ONU_Faulty,null,ONU_Replaced
1-10751091091,null,LocalAccess,Line Disconnect,Line Disconnect,null,FOC_Tie cable problem,null,FOC_Tie cable restored
1-10751091476,null,TM_CPE,Error_Code_Others,Error_Code_Others,null,TM_CPE_STB Faulty,null,STB_Replaced
1-10751136304,null,Customer,Wireless signal low,Wireless signal low,null,PG_Faulty,null,Advise Customer
1-10751154105,null,BTU,Call Failure - incoming,Call Failure - incoming,null,ONU_Hang,null,ONU_Replaced
1-10751154220,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Power Adaptor,null,Power Adaptor Replaced
1-10751183456,null,BTU,Line Disconnect,Line Disconnect,null,VDSL Modem Faulty,null,VDSL_Replaced
1-10751215602,null,BTU,Line Disconnect,Line Disconnect,null,VDSL_Modem Power Adaptor,null,Power Adaptor Replaced
1-10751301746,null,TM_CPE,Frequent disconnection,Frequent disconnection,null,TM_CPE_PG Hang,null,PG_Replaced
1-10751343025,null,Major Outage,Slow throughput (local),Slow throughput (local),null,No Fault Found,null,Problem_Restored
1-10751370896,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_CPE Connector RJ45,null,Cable_Reconnected
1-10751372398,null,LocalAccess,Line Disconnect,Line Disconnect,null,Drop Fiber Damage,null,E/S Fiber cable replaced
1-10751376886,null,Customer,Error_108001,Error_108001,null,Other_Fault,null,Advise Customer
1-10751412623,null,TM_CPE,AudioQuality Poor_All LiveTV,AudioQuality Poor_All LiveTV,null,TM_CPE_STB Config Problem,null,STB_Config _Changed
1-10751446263,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Cancel TT,null,Advise Customer
1-10751455641,null,IPTV Platform,Login IPTV_Fail,Login IPTV_Fail,null,Others,null,Others
1-10751483558,null,Customer,Frequent disconnection,Frequent disconnection,null,Customer_Internal Wiring,null,Advise Customer
1-10751737415,null,Customer,Cannot browse all website,Cannot browse all website,null,Other_Fault,null,Advise Customer
1-10751833451,null,BTU,No Dial Tone,No Dial Tone,null,ONU_Missing Config,null,ONU_Config_Changed
1-10751874722,null,BTU,Wireless not detected,Wireless not detected,null,ONU_Faulty,null,ONU_Replaced
1-10752019313,null,Customer,Line Disconnect,Line Disconnect,null,Clear While Localising,null,Advise Customer
1-10752089075,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Not Reachable,null,Advise Customer
1-10752366461,null,Customer,Slow downloading rate,Slow downloading rate,null,Customer_Behaviour,null,Advise Customer
1-10752410605,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Not Reachable,null,Advise Customer
1-10752425281,null,TM_CPE,Intermittent,Intermittent,null,TM_CPE_PG Faulty,null,PG_Replaced
1-10752435195,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Not Reachable,null,Advise Customer
1-10752477459,null,LocalAccess,Line Disconnect,Line Disconnect,null,Drop Fiber Damage,null,D/S Pair Restored
1-10752506605,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Not Reachable,null,Advise Customer
1-10752506895,null,Customer,Line Disconnect,Line Disconnect,null,Customer_Internal Wiring,null,Advise Customer
1-10752660214,null,TM_CPE,Line Disconnect,Line Disconnect,null,TM_IW Internal Fiber,null,Connector_Replaced
1-10752661782,null,TM_CPE,Intermittent,Intermittent,null,TM_FTB FASC Connector Faulty,null,TM_FTB FASC connector replaced
1-10752750457,null,Customer,Cannot browse all website,Cannot browse all website,null,Other_Fault,null,Advise Customer
1-10752806618,null,BTU,Line Disconnect,Line Disconnect,null,VDSL_Modem Power Adaptor,null,Power Adaptor Replaced
1-10752887506,null,Access Network,Line Disconnect,Line Disconnect,null,EQMT_MSAN POTS card faulty,null,MSAN POTS card reset
1-10752887889,null,BTU,Line Disconnect,Line Disconnect,null,ONU_Power Adaptor,null,Power Adaptor Replaced
