,trouble_ticket_id,Cause_code,acc,account,acct,acknowledge,active,address,addressing,advice,advise,advised
417,1-WPD62C,Clear While Localising,0,4,1,0,1,2,1,1,0,0
418,1-WP7VKW,Customer_Behaviour,0,2,1,0,1,2,1,1,0,2
419,1-WP3YUZ,Clear While Localising,0,3,1,1,1,2,1,3,3,0
420,1-WOY098,VDSL Modem Faulty,0,1,1,0,0,2,0,2,0,0
421,1-WOZJ4Y,Other_Fault,0,1,1,0,1,3,1,1,0,0
422,1-WOSMLX,Customer_Behaviour,0,1,1,0,1,2,1,3,0,0
423,1-WOVU0W,TM_CPE_PG Faulty,1,2,1,0,1,3,1,0,0,0
424,1-WOVQC8,TM_CPE_PG Faulty,0,1,2,0,1,4,1,3,0,0
425,1-WOXZM6,Customer_Behaviour,1,2,1,0,1,2,1,2,0,1
426,1-WOXZJN,Customer_Behaviour,0,4,1,0,1,2,1,1,0,1
427,1-WOV9UJ,Customer_Behaviour,0,4,1,0,1,2,1,1,0,0
428,1-WOSG08,Customer_Behaviour,0,2,1,0,1,2,1,1,0,2
429,1-WOU892,Customer_Behaviour,0,3,1,1,1,2,1,3,3,0
430,1-WOSPCZ,Other_Fault,0,1,1,0,0,2,0,2,0,0
431,1-WOU0X9,Customer_Behaviour,0,1,1,0,1,3,1,1,0,0
432,1-WOSP5N,Customer_Behaviour,0,1,1,0,1,2,1,3,0,0
433,1-WOQOEB,Other_Fault,1,2,1,0,1,3,1,0,0,0
434,1-WORDBE,Customer_Behaviour,0,1,2,0,1,4,1,3,0,0
435,1-WORYTE,Customer_Behaviour,1,2,1,0,1,2,1,2,0,1
436,1-WOR6AP,Customer_Behaviour,0,4,1,0,1,2,1,1,0,1
437,1-WORD3Q,TM_CPE_PG Config Problem,0,4,1,0,1,2,1,1,0,0
438,1-WOODFW,VDSL Modem Config Problem,0,2,1,0,1,2,1,1,0,2
439,1-WONEM9,Customer_Behaviour,0,3,1,1,1,2,1,3,3,0
440,1-WOMVKH,VDSL_Modem_Hang,0,1,1,0,0,2,0,2,0,0
441,1-WOMEF6,Customer_Behaviour,0,1,1,0,1,3,1,1,0,0
442,1-WOLVIU,Cabinet/SDF Jumper Faulty,0,1,1,0,1,2,1,3,0,0
443,1-WOLVHU,TM_FTB FASC Connector Faulty,1,2,1,0,1,3,1,0,0,0
444,1-WOLXP7,VDSL Modem Faulty,0,1,2,0,1,4,1,3,0,0
445,1-WOLIFK,Clear While Localising,1,2,1,0,1,2,1,2,0,1
446,1-3FFT6T7,FOC_Tie cable problem,0,4,1,0,1,2,1,1,0,1
447,1-3FFRZ90,Other_Fault,0,4,1,0,1,2,1,1,0,0
448,1-3FFKETQ,Customer_Not Reachable,0,2,1,0,1,2,1,1,0,2
449,1-3FFGMUD,TM_CPE_DectPhone Faulty,0,3,1,1,1,2,1,3,3,0
450,1-3FF5F8X,FDP_FASC Connector Faulty,0,1,1,0,0,2,0,2,0,0
451,1-3FEXPWO,Clear While Localising,0,1,1,0,1,3,1,1,0,0
452,1-3FEXB0Y,EQMT_VLAN problem,0,1,1,0,1,2,1,3,0,0
453,1-3FEXMEM,TM_CPE_PG Hang,1,2,1,0,1,3,1,0,0,0
454,1-3FEV9PU,VDSL Modem Faulty,0,1,2,0,1,4,1,3,0,0
455,1-3FEY49M,ONU_Power Adaptor,1,2,1,0,1,2,1,2,0,1
456,1-3FEF4OB,Other_Fault,0,4,1,0,1,2,1,1,0,1
457,1-3FE48C1,Cut-Core Brittle /Broken,0,4,1,0,1,2,1,1,0,0
458,1-3FDV9W8,FOC_D/S Cable Damage,0,2,1,0,1,2,1,1,0,2
459,1-3FBHTQR,Customer_Behaviour,0,3,1,1,1,2,1,3,3,0
460,1-3FBI8TW,Clear While Localising,0,1,1,0,0,2,0,2,0,0
461,1-3FBGQ5S,TM_CPE_PG Faulty,0,1,1,0,1,3,1,1,0,0
462,1-3FB6SHA,EQMT_GE port faulty,0,1,1,0,1,2,1,3,0,0
463,1-3FB4WTP,VDSL_Modem Power Adaptor,1,2,1,0,1,3,1,0,0,0
464,1-3FAT5RP,Customer Defer Appointment,0,1,2,0,1,4,1,3,0,0
465,1-3FBAJ6Q,Customer Defer Appointment,1,2,1,0,1,2,1,2,0,1
466,1-3FB8XMT,Drop Fiber Damage by pest,0,4,1,0,1,2,1,1,0,1
467,1-3FB88HD,TM_IW Fiber Patch Cord,0,4,1,0,1,2,1,1,0,0
468,1-3FB4UJJ,EQMT_GE port faulty,0,2,1,0,1,2,1,1,0,2
469,1-3FB2M7P,Clear While Localising,0,3,1,1,1,2,1,3,3,0
470,1-3FAYYWN,TM_CPE_IW_RJ11 Faulty,0,1,1,0,0,2,0,2,0,0
471,1-3FAZZT1,D/S Pair Faulty,0,1,1,0,1,3,1,1,0,0
472,1-3FAQVVZ,TM_CPE_PG Config Problem,0,1,1,0,1,2,1,3,0,0
473,1-3FAMGTM,TM_CPE_STB Config Problem,1,2,1,0,1,3,1,0,0,0
474,1-3FAQ7YV,TM_CPE_PG Config Problem,0,1,2,0,1,4,1,3,0,0
475,1-3FAL8U0,Cabinet/SDF Jumper Faulty,1,2,1,0,1,2,1,2,0,1
476,1-3FAOYS2,VDSL Modem Faulty,0,4,1,0,1,2,1,1,0,1
477,1-3FAEHBZ,TM_CPE_PG_Wireless Coverage,0,4,1,0,1,2,1,1,0,0
478,1-3FAKJRH,Drop Fiber Damage,0,2,1,0,1,2,1,1,0,2
479,1-3FA4ZV3,TM_CPE_PG Faulty,0,3,1,1,1,2,1,3,3,0
480,1-3FAI7T7,Cabinet/SDF Jumper Faulty,0,1,1,0,0,2,0,2,0,0
481,1-3FAHDMV,ONU_Faulty,0,1,1,0,1,3,1,1,0,0
482,1-3FAGOUN,Drop Fiber Damage,0,1,1,0,1,2,1,3,0,0
483,1-3FA4BTX,Cabinet/SDF Jumper Faulty,1,2,1,0,1,3,1,0,0,0
484,1-3FA5KQS,Cabinet/SDF Jumper Faulty,0,1,2,0,1,4,1,3,0,0
485,1-3FA5KHT,VDSL_Modem Power Adaptor,1,2,1,0,1,2,1,2,0,1
486,1-3FA0Z5L,FDP_Damage,0,4,1,0,1,2,1,1,0,1
487,1-3FA3RY1,Customer_IW Internal Fiber,0,4,1,0,1,2,1,1,0,0
488,1-3FA4BOV,Customer_Behaviour,0,2,1,0,1,2,1,1,0,2
489,1-3FA38MZ,VDSL Modem Faulty,0,3,1,1,1,2,1,3,3,0
490,1-3FA2NO5,Customer Defer Appointment,0,1,1,0,0,2,0,2,0,0
491,1-3FA2XL1,VDSL_Modem Power Adaptor,0,1,1,0,1,3,1,1,0,0
492,1-3F9YIQV,FOC_Tie cable problem,0,1,1,0,1,2,1,3,0,0
493,1-3F9KN45,Clear While Localising,1,2,1,0,1,3,1,0,0,0
494,1-3F9S9RQ,Cabinet/SDF Jumper Faulty,0,1,2,0,1,4,1,3,0,0
495,1-3F9F8NK,FDP_FASC Connector Faulty,1,2,1,0,1,2,1,2,0,1
496,1-3F9LC12,ONU_Faulty,0,4,1,0,1,2,1,1,0,1
